Div,Date,HomeTeam,AwayTeam,ScoreHome,ScoreAway,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,yellowhome,yellowAway,RedHome,RedAway.
F1,20/01/17,Bastia,Nice,1,1,D,1,1,D,11,17,2,5,16,9,0,4,1,0,1,0,3
F1,21/01/17,Bordeaux,Toulouse,1,0,H,1,0,H,22,8,10,6,18,16,6,4,2,1,0,1
F1,21/01/17,Dijon,Lille,0,0,D,0,0,D,19,11,4,3,17,19,10,7,2,2,0,0
F1,21/01/17,Guingamp,Rennes,1,1,D,1,0,H,15,7,4,3,11,16,4,1,2,2,0,1
F1,21/01/17,Metz,Montpellier,2,0,H,2,0,H,6,15,4,4,18,10,4,8,1,2,0,0
F1,21/01/17,Nantes,Paris SG,0,2,A,0,1,A,7,15,0,5,15,11,6,5,2,1,0,0
F1,22/01/17,Lyon,Marseille,3,1,H,1,0,H,19,11,8,4,14,18,6,8,1,2,0,0
F1,22/01/17,Monaco,Lorient,4,0,H,3,0,H,16,6,7,3,7,12,3,6,1,1,0,0
F1,22/01/17,St Etienne,Angers,2,1,H,0,1,A,12,16,4,5,8,8,6,3,2,3,0,0
F1,27/01/17,Marseille,Montpellier,5,1,H,3,0,H,17,19,9,9,12,7,7,5,1,1,0,1
F1,28/01/17,Angers,Metz,2,1,H,2,1,H,19,3,10,0,9,8,10,1,0,0,0,2,2
F1,28/01/17,Bastia,Caen,1,1,D,1,1,D,11,18,3,5,11,14,4,9,2,2,0,0
F1,28/01/17,Lorient,Dijon,2,3,A,0,1,A,15,5,6,4,13,11,2,2,4,3,0,0
F1,28/01/17,Lyon,Lille,1,2,A,0,1,A,13,9,6,4,18,15,4,1,1,3,0,0
F1,28/01/17,Nancy,Bordeaux,0,2,A,0,0,D,11,9,1,3,11,9,6,8,0,2,0,0
F1,28/01/17,Rennes,Nantes,1,1,D,0,1,A,7,10,1,3,10,15,3,2,3,1,0,0
F1,29/01/17,Nice,Guingamp,3,1,H,2,0,H,9,13,4,4,14,21,3,7,3,3,0,0
F1,29/01/17,Paris SG,Monaco,1,1,D,0,0,D,11,14,4,7,13,11,4,13,0,1,0,0
F1,29/01/17,Toulouse,St Etienne,0,3,A,0,1,A,13,20,3,6,17,21,3,3,2,4,1,0
